ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
CPER590	590	CPER	Meteorology	ShortWaveIn	Incoming shortwave radiation	W/meter²	fifteen minutes	15 minute	2015	2015	2015-01-01	2018	now	2019-12-31	5	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	ave_incoming_shortwave radiation	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER591	591	CPER	Meteorology	LongWaveIn	Incoming longwave radiation	W/meter²	fifteen minutes	15 minute	2015	2015	2015-01-01	2018	now	2019-12-31	5	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	ave_incoming_longwave radiation	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER592	592	CPER	Meteorology	AirTC_Avg	Air Temperature	°C	hourly	1 hour	2003	2003	2003-01-01	2018	now	2019-12-31	17	David Hoover, Justin Derner, Nicole Kaplan	Access Database			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Temperature, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER593	593	CPER	Meteorology	RH	Relative humidity	%	hourly	1 hour	2003	2003	2003-01-01	2018	now	2019-12-31	17	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Relative humidity, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER594	594	CPER	Meteorology	BAR_mbar_Avg	Barometric Pressure	mb	hourly	1 hour	2003	2003	2003-01-01	2018	now	2019-12-31	17	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Pressure	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER595	595	CPER	Meteorology	Rain_mm_Tot	precipitation	mm	hourly	1 hour	2003	2003	2003-01-01	2018	now	2019-12-31	17	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Precipitation, total, no media, daily	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER596	596	CPER	Meteorology	WS_ms_Avg	wind speed	m/s	hourly	1 hour	2003	2003	2003-01-01	2018	now	2019-12-31	17	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Wind speed, air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER597	597	CPER	Meteorology	WindDir	wind direction	degrees	hourly	1 hour	2003	2003	2003-01-01	2018	now	2019-12-31	17	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Wind direction air, daily, mean	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER598	598	CPER	Meteorology	PAR_Den_Avg	Photosynthetically Active Radiation	µmol/s/m²	hourly	1 hour	2003	2003	2003-01-01	2018	now	2019-12-31	17	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Solar radiation, vegetated ground, no media, daily, total	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
CPER599	599	CPER	Meteorology	PAR_Tot_Tot	Photosynthetically Active Radiation	mmoles/m²	hourly	1 hour	2003	2003	2003-01-01	2018	now	2019-12-31	17	David Hoover, Justin Derner, Nicole Kaplan	.30 file server			4	Central Plains Experimental Range, Nunn, Colorado	Open	Meteorology	WeatherDaily, WeatherStation	Solar radiation, vegetated ground, no media, daily, total	Meteorology		NAL Met Data Dashboard		Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
