ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
GACP835	835	GACP	Eddy flux	irga_H2O_I_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP836	836	GACP	Eddy flux	irga_H2O_Io_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP837	837	GACP	Eddy flux	irga_CO2_Io_var_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP838	838	GACP	Eddy flux	irga_H2O_Io_var_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP839	839	GACP	Eddy flux	irga_CO2_sig_strgth_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP840	840	GACP	Eddy flux	irga_H2O_sig_strgth_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP841	841	GACP	Eddy flux	irga_cal_err_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP842	842	GACP	Eddy flux	irga_htr_ctrl_off_f_Tot		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP843	843	GACP	Eddy flux	CO2_sig_strgth_mean		fraction	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP844	844	GACP	Eddy flux	H2O_sig_strgth_mean		fraction	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP845	845	GACP	Eddy flux	T_tmpr_rh_mean		C	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP846	846	GACP	Eddy flux	e_tmpr_rh_mean		kPa	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP847	847	GACP	Eddy flux	e_sat_tmpr_rh_mean		kPa	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP848	848	GACP	Eddy flux	H2O_tmpr_rh_mean		g/m^3	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP849	849	GACP	Eddy flux	RH_tmpr_rh_mean		%	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP850	850	GACP	Eddy flux	rho_a_tmpr_rh_mean		kg/m^3	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP851	851	GACP	Eddy flux	Rn_Avg		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP852	852	GACP	Eddy flux	albedo_Avg		arb	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP853	853	GACP	Eddy flux	Rs_incoming_Avg		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP854	854	GACP	Eddy flux	Rs_outgoing_Avg		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP855	855	GACP	Eddy flux	Rl_incoming_Avg		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP856	856	GACP	Eddy flux	Rl_outgoing_Avg		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP857	857	GACP	Eddy flux	T_nr_Avg		K	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP858	858	GACP	Eddy flux	Rl_incoming_meas_Avg		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP859	859	GACP	Eddy flux	Rl_outgoing_meas_Avg		W/m^2	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
GACP860	860	GACP	Eddy flux	Tsoil_mean(1)		C	30 min	30 minute								David Bosch	.csv				Ponder	closed	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	
