ID	RowID	LTARSite.Code	Category	DataSetVariableName	AttributeDescription	Units	TemporalResolution	TemporalResolutionStandard	StartDate	StartDateStandard	StartDateAgCROS	EndDate	EndDateStandard	EndDateAgCros	DateDif_yrs	ResponsiblePersons	StorageFormat	URLdataAccess	LocationIDoutsideNetwork	SpatialRepeats	SpatialDescription	PublicAccess	Network.Category	AgCROS.Table	AgCROS.VarName	NALT.Keywords	subsite	Repo.Name	Model.Name	NALT.Subject	ISO.Topic	Common.Experiment
UMRB6030	6030	UMRB - St. Paul	METEOROLOGY	Relative Humidity	Relative Humidity	%	15 minute	15 minute	10/5/2015	2015-10-05	2015-10-05	present	now	2019-12-31	4	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000	1	Prairie, Rosemount, MN	Open	Meteorology	WeatherDaily, WeatherStation	Relative humidity, air, daily, mean					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
UMRB6031	6031	UMRB - St. Paul	METEOROLOGY	Wind Speed	Wind Speed	m/s	15 minute	15 minute	10/5/2015	2015-10-05	2015-10-05	present	now	2019-12-31	4	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000	1	Prairie, Rosemount, MN	Open	Meteorology	WeatherDaily, WeatherStation	Wind speed, air, daily, mean					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
UMRB6032	6032	UMRB - St. Paul	METEOROLOGY	Wind Direction	Wind Direction	Deg	15 minute	15 minute	10/5/2015	2015-10-05	2015-10-05	present	now	2019-12-31	4	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000	1	Prairie, Rosemount, MN	Open	Meteorology	WeatherDaily, WeatherStation	Wind direction air, daily, mean					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
UMRB6033	6033	UMRB - St. Paul	METEOROLOGY	Precipitation	Precipitation	mm	15 minute	15 minute	10/5/2015	2015-10-05	2015-10-05	present	now	2019-12-31	4	C. Winker	NAL LTAR Data Portal	NAL LTAR Data Portal	UMRB - St. Paul - 000	1	Prairie, Rosemount, MN	Open	Meteorology	WeatherDaily, WeatherStation	Precipitation, total, no media, daily					Natural Resources, Earth and Environmental Sciences	climatologyMeteorologyAtmosphere	yes
UMRB6034	6034	UMRB - St. Paul	VEGETATION	Phenocam	Phenocam, IR, RGB, Images, Business As Usual	jpg	30 minute	30 minute	1/13/2017	2017-01-13	2017-01-13	present	now	2019-12-31	3	C. Winker	Phenocam Network Web Site	Phenocam Network Web Site	rosemountconv	1	I18S, Rosemount, MN	Open	Vegetation	new ecology	PhenoCam	Vegetation				Natural Resources, Earth and Environmental Sciences	biota	yes
UMRB6035	6035	UMRB - St. Paul	VEGETATION	Phenocam	Phenocam, IR, RGB, Images, Aspirational	jpg	30 minute	30 minute	1/13/2017	2017-01-13	2017-01-13	present	now	2019-12-31	3	C. Winker	Phenocam Network Web Site	Phenocam Network Web Site	rosemountcons	1	I18N, Rosemount, MN	Open	Vegetation	new ecology	PhenoCam	Vegetation				Natural Resources, Earth and Environmental Sciences	biota	yes
UMRB6036	6036	UMRB - St. Paul	VEGETATION	Phenocam	Phenocam, IR, RGB, Images, Aspirational, Restored Prairie	jpg	30 minute	30 minute	10/2/2015	2015-10-02	2015-10-02	present	now	2019-12-31	4	C. Winker	Phenocam Network Web Site	Phenocam Network Web Site	rosemountnprs	1	Prairie, Rosemount, MN	Open	Vegetation	new ecology	PhenoCam	Vegetation				Natural Resources, Earth and Environmental Sciences	biota	yes
UMRB6037	6037	UMRB-Morris	Eddy Covariance	Hs	flux system, raw data	W/m^2	15 minute	15 minute	6/9/2017	2017-06-09	2017-06-09	present	now	2019-12-31	3	C. Wente	Spreadsheet	local network		1	"Morris MN sites 1 and 2"	Open	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6038	6038	UMRB-Morris	Eddy Covariance	tau	flux system, raw data	kg/(m s^2)	15 minute	15 minute	6/9/2017	2017-06-09	2017-06-09	present	now	2019-12-31	3	C. Wente	Spreadsheet	local network		1	"Morris MN sites 1 and 2"	Open	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
UMRB6039	6039	UMRB-Morris	Eddy Covariance	u_star	flux system, raw data	m/s	15 minute	15 minute	6/9/2017	2017-06-09	2017-06-09	present	now	2019-12-31	3	C. Wente	Spreadsheet	local network		1	"Morris MN sites 1 and 2"	Open	Eddy Covariance	AmeriFlux		Meteorology, Eddy Covariance				Research, Technology and Engineering	climatologyMeteorologyAtmosphere	yes
